purchase_uuid,customer_id,full_name,email_address,purchase_date,product_id,product_category,quantity,price_per_unit,total_price
d392a8da-5a71-4feb-b5ac-32729acf2eb8,CUST_012,John Gonzalez,john.gonzalez593@yahoo.com,2024-01-11,PROD_038,Apparel,7,20.71,144.97
d5981701-eb3c-41d1-ae93-5cb3afbabcb4,CUST_004,John Johnson,john.johnson267@gmail.com,2025-06-18,PROD_031,Groceries,8,214.55,1716.4
3512a48d-3729-4765-9ecc-d3fb7a09c13a,CUST_015,Linda Gonzalez,linda.gonzalez749@gmail.com,2024-06-13,PROD_036,Home Goods,2,46.86,93.72
42e85bb6-7fe4-401e-bd8a-03080f91a1fd,CUST_008,David Johnson,david.johnson984@outlook.com,2023-10-30,PROD_019,Home Goods,7,305.39,2137.73
68041c8d-5cb4-45ce-9cb5-ef530d9b53a9,CUST_047,John Williams,john.williams507@gmail.com,2023-12-21,PROD_048,Electronics,2,441.08,882.16
ac3883d2-a7b4-453a-844c-ed3c28e80357,CUST_042,David Martin,david.martin800@yahoo.com,2024-10-12,PROD_045,Books,2,442.04,884.08
38f0b39f-4c8f-4c5c-be5d-aa07b5b68ced,CUST_033,Barbara Taylor,barbara.taylor906@aol.com,2024-03-15,PROD_036,Books,8,331.23,2649.84
89110cba-ead6-4e6a-8174-e057ec43d887,CUST_044,David Williams,david.williams849@aol.com,2024-01-04,PROD_030,Electronics,2,109.56,219.12
b46880de-7904-44b6-8a8b-46ebad4af733,CUST_041,William Miller,william.miller271@icloud.com,2025-07-21,PROD_049,Books,9,432.18,3889.62
c6652424-6422-429f-84e4-dab765fec903,CUST_009,Joseph Garcia,joseph.garcia328@hotmail.com,2023-10-01,PROD_033,Apparel,1,443.62,443.62
62ce0fe5-bbba-41ac-85e4-354f73737a67,CUST_046,Sarah Garcia,sarah.garcia659@gmail.com,2024-02-02,PROD_018,Books,9,102.34,921.06
994947c7-54b0-4095-b341-7b797834290d,CUST_028,Robert Thomas,robert.thomas326@hotmail.com,2025-01-30,PROD_049,Books,1,370.03,370.03
52bfd562-b7b6-40aa-ac41-c63b0bdff1f3,CUST_042,David Martin,david.martin800@yahoo.com,2024-07-26,PROD_028,Electronics,2,146.83,293.66
8c80038a-d55a-45af-a0e1-bb9796e54e00,CUST_046,Sarah Garcia,sarah.garcia659@gmail.com,2024-09-02,PROD_047,Groceries,6,402.31,2413.86
1f813294-f62f-4268-bf72-ee7fd18eb64f,CUST_016,Jennifer Jackson,jennifer.jackson336@outlook.com,2023-09-24,PROD_011,Books,6,498.63,2991.78
3ef0c691-865b-472a-a7f8-88c3c2be0565,CUST_006,Mary Lopez,mary.lopez170@gmail.com,2024-02-28,PROD_045,Books,1,19.86,19.86
5fbc2474-5fde-4e61-9519-d59251d3c285,CUST_012,John Gonzalez,john.gonzalez593@yahoo.com,2024-08-04,PROD_033,Groceries,7,449.2,3144.4
851962ba-fb09-487d-b494-8f20bb043567,CUST_023,Michael Moore,michael.moore356@yahoo.com,2024-02-06,PROD_017,Electronics,8,313.2,2505.6
452836a9-a335-477d-8624-73a51a92d91d,CUST_042,David Martin,david.martin800@yahoo.com,2024-03-08,PROD_006,Groceries,2,486.82,973.64
6202b03e-a121-4da1-ac2e-957dbeeb042e,CUST_044,David Williams,david.williams849@aol.com,2025-03-17,PROD_004,Electronics,8,235.18,1881.44
e38cc6b0-e4b0-4bf7-aa20-63d12679df02,CUST_001,Thomas Williams,thomas.williams160@hotmail.com,2025-01-23,PROD_020,Apparel,9,424.46,3820.14
8cfa1da2-1a38-4d6e-9b50-bc8e7dd1951a,CUST_027,Linda Johnson,linda.johnson700@icloud.com,2024-05-19,PROD_048,Electronics,6,35.89,215.34
1d543da2-7b45-49ff-9302-c9450268df21,CUST_022,Elizabeth Hernandez,elizabeth.hernandez437@aol.com,2024-11-17,PROD_047,Apparel,5,170.96,854.8
24bfe124-ee0f-41ec-a5dc-3b9590e00680,CUST_012,John Gonzalez,john.gonzalez593@yahoo.com,2024-12-24,PROD_027,Apparel,9,38.17,343.53
edd97cca-3701-411c-95e4-bc3effcb4c72,CUST_006,Mary Lopez,mary.lopez170@gmail.com,2024-03-14,PROD_015,Electronics,9,487.79,4390.11
25f32811-cb3b-4041-95cf-27caa31564c2,CUST_017,James Thomas,james.thomas681@icloud.com,2023-10-09,PROD_006,Home Goods,1,409.4,409.4
befeb726-d702-45d6-af88-035b67f7ebc2,CUST_048,Jennifer Anderson,jennifer.anderson162@icloud.com,2023-08-22,PROD_047,Electronics,3,427.01,1281.03
94f6793f-e599-478c-9f30-8fe5f4ad705e,CUST_017,James Thomas,james.thomas681@icloud.com,2024-04-03,PROD_014,Books,9,469.29,4223.61
a29941be-ac63-4f01-b2e4-3a11f2de4fa9,CUST_027,Linda Johnson,linda.johnson700@icloud.com,2025-04-22,PROD_011,Books,2,47.13,94.26
8b0c5983-11dd-4d00-8bfd-22ce6c890b85,CUST_036,Robert Martin,robert.martin381@outlook.com,2024-07-27,PROD_039,Home Goods,4,195.87,783.48
d3884104-72da-4946-805f-7afb28c165c4,CUST_019,Elizabeth Brown,elizabeth.brown191@hotmail.com,2024-09-07,PROD_009,Apparel,4,40.16,160.64
505f736e-be71-4827-bfec-d5c3945c4d51,CUST_049,Robert Taylor,robert.taylor793@outlook.com,2024-01-11,PROD_026,Home Goods,2,109.34,218.68
362156bd-eb9c-43ff-91f8-3dcde39b545a,CUST_049,Robert Taylor,robert.taylor793@outlook.com,2024-07-18,PROD_016,Books,3,118.54,355.62
aeeb5d2f-3612-43a0-b041-044ad665d924,CUST_013,Linda Gonzalez,linda.gonzalez224@aol.com,2025-06-14,PROD_005,Home Goods,3,237.21,711.63
8be3a261-b54a-412d-b0bb-0ec38bad8067,CUST_026,Susan Taylor,susan.taylor233@gmail.com,2023-08-31,PROD_010,Electronics,1,137.94,137.94
e71cbc82-8b48-4c03-a87a-64945073b140,CUST_015,Linda Gonzalez,linda.gonzalez749@gmail.com,2023-08-27,PROD_050,Home Goods,6,54.98,329.88
8ac7da63-f2c4-4d12-ae01-14ee54fa1c9c,CUST_014,Christopher Williams,christopher.williams568@yahoo.com,2025-06-06,PROD_003,Apparel,8,87.91,703.28
06481d87-3b9c-408a-9c5f-c4bba420a1ac,CUST_002,Jennifer Gonzalez,jennifer.gonzalez120@icloud.com,2024-11-16,PROD_013,Electronics,3,77.9,233.7
fff60c7b-c9a1-4574-bbd4-1ec18ee53947,CUST_032,Karen Brown,karen.brown731@gmail.com,2024-10-01,PROD_043,Groceries,5,486.67,2433.35
7c08db78-9ba5-478a-8902-db594bc516ea,CUST_026,Susan Taylor,susan.taylor233@gmail.com,2024-09-13,PROD_049,Books,1,380.85,380.85
f13c995d-afdb-430d-9a5b-0087804f2954,CUST_003,Joseph Rodriguez,joseph.rodriguez580@aol.com,2024-08-16,PROD_030,Books,7,484.04,3388.28
09828103-62da-4a53-a3ae-2dd7fd3de65a,CUST_014,Christopher Williams,christopher.williams568@yahoo.com,2024-04-09,PROD_045,Home Goods,1,222.67,222.67
9ffc1ae9-904a-40cc-855f-eaf1e802dadb,CUST_046,Sarah Garcia,sarah.garcia659@gmail.com,2023-12-19,PROD_006,Electronics,9,142.79,1285.11
f1172b16-822f-4d61-a8cd-97618253a524,CUST_013,Linda Gonzalez,linda.gonzalez224@aol.com,2025-03-04,PROD_017,Groceries,8,400.16,3201.28
a862ecb4-5365-46e6-8e30-2fb60b204ece,CUST_007,Joseph Davis,joseph.davis537@icloud.com,2024-02-20,PROD_045,Electronics,7,166.5,1165.5
b82efaab-92ed-4b74-a702-f340efc3732b,CUST_026,Susan Taylor,susan.taylor233@gmail.com,2025-08-06,PROD_019,Books,7,153.19,1072.33
b2f964bc-5796-429b-b6a9-0902e52545d8,CUST_050,Karen Anderson,karen.anderson492@hotmail.com,2024-10-20,PROD_042,Electronics,5,120.09,600.45
809d7c48-4328-4b22-8d0c-8009112b8ac9,CUST_013,Linda Gonzalez,linda.gonzalez224@aol.com,2023-08-19,PROD_035,Groceries,5,69.19,345.95
0a61be73-e5ad-470d-ac59-7b339b33b771,CUST_035,Joseph Lopez,joseph.lopez676@hotmail.com,2025-05-07,PROD_046,Home Goods,5,131.95,659.75
0f61538f-a010-43b0-a80e-d3bf5c84c364,CUST_039,David Johnson,david.johnson430@yahoo.com,2024-06-18,PROD_026,Apparel,1,180.88,180.88
fe7d6275-b684-4a07-9eb0-c12d4395f33f,CUST_012,John Gonzalez,john.gonzalez593@yahoo.com,2024-07-21,PROD_005,Electronics,8,338.63,2709.04
cbed1a3a-5293-4174-98de-50ba4dd9856a,CUST_037,Michael Hernandez,michael.hernandez33@aol.com,2025-01-15,PROD_029,Apparel,1,35.97,35.97
98defaed-c9c9-4bee-bf56-2ecd7f63e58a,CUST_019,Elizabeth Brown,elizabeth.brown191@hotmail.com,2023-09-26,PROD_037,Books,4,109.2,436.8
af4b45dc-2c41-479c-aa61-3e268b04fd86,CUST_033,Barbara Taylor,barbara.taylor906@aol.com,2025-05-21,PROD_020,Home Goods,9,405.47,3649.23
ccc30f51-408a-4332-9de1-55f918aa895d,CUST_033,Barbara Taylor,barbara.taylor906@aol.com,2024-02-11,PROD_049,Home Goods,9,77.73,699.57
e342b602-c102-460d-b655-28ce57a6cf3c,CUST_028,Robert Thomas,robert.thomas326@hotmail.com,2024-07-12,PROD_021,Electronics,5,174.61,873.05
d8919aa8-1010-449c-bc6a-8f6e1b9b7088,CUST_005,Robert Rodriguez,robert.rodriguez195@gmail.com,2024-01-07,PROD_010,Home Goods,4,433.01,1732.04
fdb76fbc-4371-4632-bfe8-79792fd6d358,CUST_043,Joseph Wilson,joseph.wilson84@aol.com,2025-07-02,PROD_005,Electronics,3,81.69,245.07
ae38e156-f50b-4914-ac03-6775999711a2,CUST_016,Jennifer Jackson,jennifer.jackson336@outlook.com,2023-10-15,PROD_036,Electronics,3,45.95,137.85
7e32320d-a3dc-4997-b372-2ea1047d4cd7,CUST_009,Joseph Garcia,joseph.garcia328@hotmail.com,2024-05-11,PROD_006,Apparel,5,244.85,1224.25
f5c152d4-1c7c-4b8c-875e-92ac784cc7e6,CUST_002,Jennifer Gonzalez,jennifer.gonzalez120@icloud.com,2024-01-03,PROD_026,Home Goods,1,154.7,154.7
b60ac491-2ba0-4756-8975-5a8f3a9d6ed1,CUST_031,Patricia Martin,patricia.martin864@outlook.com,2024-10-11,PROD_004,Electronics,5,283.89,1419.45
56bdc863-da8f-4a85-8bdc-53a3ad633456,CUST_035,Joseph Lopez,joseph.lopez676@hotmail.com,2025-05-23,PROD_039,Apparel,6,402.88,2417.28
2273fb51-ae30-4c9e-9b6a-65ee51d015af,CUST_001,Thomas Williams,thomas.williams160@hotmail.com,2025-05-17,PROD_039,Groceries,7,72.89,510.23
c14871c8-3058-4502-ba12-1baa92909081,CUST_027,Linda Johnson,linda.johnson700@icloud.com,2023-10-27,PROD_050,Apparel,9,292.45,2632.05
b811384b-70d2-4000-bdbd-c3c6663e29cf,CUST_012,John Gonzalez,john.gonzalez593@yahoo.com,2023-10-14,PROD_035,Apparel,3,255.23,765.69
ce2f92e1-260c-4afd-a0ba-40f296b7a39b,CUST_034,James Moore,james.moore306@aol.com,2023-09-03,PROD_001,Electronics,2,76.32,152.64
a57b1ac3-4e59-4408-8419-6741a7731145,CUST_009,Joseph Garcia,joseph.garcia328@hotmail.com,2024-12-18,PROD_024,Books,3,313.88,941.64
7032d902-ba0f-48b7-989d-ba30124812d9,CUST_036,Robert Martin,robert.martin381@outlook.com,2025-08-15,PROD_036,Books,9,140.45,1264.05
51db3859-2efb-4788-a75a-a043c0a3623d,CUST_020,Jennifer Miller,jennifer.miller133@hotmail.com,2025-01-04,PROD_006,Books,7,246.48,1725.36
3e021834-4d7a-413f-a709-02b4abf4886c,CUST_047,John Williams,john.williams507@gmail.com,2024-01-06,PROD_041,Apparel,9,45.72,411.48
6974dc7e-9099-4665-a342-a20ed51581a1,CUST_007,Joseph Davis,joseph.davis537@icloud.com,2025-04-23,PROD_046,Electronics,2,232.49,464.98
30c10489-676b-4569-8395-de0e952d5d02,CUST_018,David Gonzalez,david.gonzalez345@icloud.com,2023-10-21,PROD_044,Home Goods,5,156.7,783.5
6841f085-3d5b-4abf-abe6-85363bcd437c,CUST_006,Mary Lopez,mary.lopez170@gmail.com,2025-05-06,PROD_031,Apparel,4,412.08,1648.32
764c87ce-4731-4b3a-b9d7-8549b2d8b008,CUST_047,John Williams,john.williams507@gmail.com,2025-02-04,PROD_020,Apparel,2,33.2,66.4
b4d8d839-e37d-4a18-9501-fcb561fe31ee,CUST_045,Barbara Anderson,barbara.anderson976@icloud.com,2025-03-04,PROD_024,Electronics,9,212.21,1909.89
62546523-83be-410d-8cb6-7f49bce05b03,CUST_013,Linda Gonzalez,linda.gonzalez224@aol.com,2025-05-19,PROD_025,Groceries,9,231.92,2087.28
a80a5512-17d6-4eea-9e83-574c4d605d1e,CUST_034,James Moore,james.moore306@aol.com,2023-10-01,PROD_036,Apparel,6,363.88,2183.28
dfd2f1e3-30ca-4da0-9466-25d104becda3,CUST_042,David Martin,david.martin800@yahoo.com,2025-04-17,PROD_021,Groceries,6,289.27,1735.62
8e7c48d8-0ed6-466d-9faa-1ea127d5aabc,CUST_029,Michael Martinez,michael.martinez233@yahoo.com,2025-03-27,PROD_030,Groceries,8,335.27,2682.16
1c73fd4b-7f3b-45bd-a22b-e9c86a150240,CUST_028,Robert Thomas,robert.thomas326@hotmail.com,2025-05-03,PROD_024,Books,6,389.64,2337.84
